league_id,league_name,league_logo_big_pic,league_logo_small_pic,nation_id
0,Premier League,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656,https://tmssl.akamaized.net/images/logo/small/gb1.png?lm=1521104656,41
1,Championship,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970,https://tmssl.akamaized.net/images/logo/small/gb2.png?lm=1643026970,41
2,La Liga,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003,https://tmssl.akamaized.net/images/logo/small/es1.png?lm=1557051003,109
3,Bundesliga,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518,https://tmssl.akamaized.net/images/logo/small/l1.png?lm=1525905518,49
4,Serie A,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460,https://tmssl.akamaized.net/images/logo/small/it1.png?lm=1656073460,67
5,Ligue One,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140,https://tmssl.akamaized.net/images/logo/small/fr1.png?lm=1648360140,45
6,Liga Portugal,https://tmssl.akamaized.net/images/logo/header/po1.png?lm=1626110146,https://tmssl.akamaized.net/images/logo/small/po1.png?lm=1626110146,98
7,Eredivisie,https://tmssl.akamaized.net/images/logo/header/nl1.png?lm=1674743474,https://tmssl.akamaized.net/images/logo/small/nl1.png?lm=1674743474,88
