team_id,team_name,league_id,league_name,team_url
72,Eintracht Frankfurt,3,Bundesliga,/eintracht-frankfurt/startseite/verein/24/saison_id/2022
73,FC Augsburg,3,Bundesliga,/fc-augsburg/startseite/verein/167/saison_id/2022
74,RB Leipzig,3,Bundesliga,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2022
75,SC Freiburg,3,Bundesliga,/sc-freiburg/startseite/verein/60/saison_id/2022
76,SV Darmstadt 98,3,Bundesliga,/sv-darmstadt-98/startseite/verein/105/saison_id/2022
77,SV Werder Bremen,3,Bundesliga,/sv-werder-bremen/startseite/verein/86/saison_id/2022
78,TSG 1899 Hoffenheim,3,Bundesliga,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2022
79,VfB Stuttgart,3,Bundesliga,/vfb-stuttgart/startseite/verein/79/saison_id/2022
80,VfL Bochum,3,Bundesliga,/vfl-bochum/startseite/verein/80/saison_id/2022
81,VfL Wolfsburg,3,Bundesliga,/vfl-wolfsburg/startseite/verein/82/saison_id/2022
82,AC Milan,4,Serie A,/ac-mailand/startseite/verein/5/saison_id/2022
83,AC Monza,4,Serie A,/ac-monza/startseite/verein/2919/saison_id/2022
84,ACF Fiorentina,4,Serie A,/ac-florenz/startseite/verein/430/saison_id/2022
85,AS Roma,4,Serie A,/as-rom/startseite/verein/12/saison_id/2022
86,Atalanta BC,4,Serie A,/atalanta-bergamo/startseite/verein/800/saison_id/2022
87,Bologna FC 1909,4,Serie A,/fc-bologna/startseite/verein/1025/saison_id/2022
88,Cagliari Calcio,4,Serie A,/cagliari-calcio/startseite/verein/1390/saison_id/2022
89,FC Empoli,4,Serie A,/fc-empoli/startseite/verein/749/saison_id/2022
90,Frosinone Calcio,4,Serie A,/frosinone-calcio/startseite/verein/8970/saison_id/2022
91,Genoa CFC,4,Serie A,/genua-cfc/startseite/verein/252/saison_id/2022
92,Hellas Verona,4,Serie A,/hellas-verona/startseite/verein/276/saison_id/2022
93,Inter Milan,4,Serie A,/inter-mailand/startseite/verein/46/saison_id/2022
94,Juventus FC,4,Serie A,/juventus-turin/startseite/verein/506/saison_id/2022
95,SS Lazio,4,Serie A,/lazio-rom/startseite/verein/398/saison_id/2022
96,SSC Napoli,4,Serie A,/ssc-neapel/startseite/verein/6195/saison_id/2022
97,Torino FC,4,Serie A,/fc-turin/startseite/verein/416/saison_id/2022
98,US Lecce,4,Serie A,/us-lecce/startseite/verein/1005/saison_id/2022
99,US Salernitana 1919,4,Serie A,/us-salernitana-1919/startseite/verein/380/saison_id/2022
100,US Sassuolo,4,Serie A,/us-sassuolo/startseite/verein/6574/saison_id/2022
101,Udinese Calcio,4,Serie A,/udinese-calcio/startseite/verein/410/saison_id/2022
102,AS Monaco,5,Ligue 1,/as-monaco/startseite/verein/162/saison_id/2022
103,Clermont Foot 63,5,Ligue 1,/clermont-foot-63/startseite/verein/3524/saison_id/2022
104,FC Lorient,5,Ligue 1,/fc-lorient/startseite/verein/1158/saison_id/2022
105,FC Metz,5,Ligue 1,/fc-metz/startseite/verein/347/saison_id/2022
106,FC Nantes,5,Ligue 1,/fc-nantes/startseite/verein/995/saison_id/2022
107,FC Toulouse,5,Ligue 1,/fc-toulouse/startseite/verein/415/saison_id/2022
108,LOSC Lille,5,Ligue 1,/losc-lille/startseite/verein/1082/saison_id/2022
109,Le Havre AC,5,Ligue 1,/ac-le-havre/startseite/verein/738/saison_id/2022
110,Montpellier HSC,5,Ligue 1,/montpellier-hsc/startseite/verein/969/saison_id/2022
111,OGC Nice,5,Ligue 1,/ogc-nizza/startseite/verein/417/saison_id/2022
112,Olympique Lyon,5,Ligue 1,/olympique-lyon/startseite/verein/1041/saison_id/2022
113,Olympique Marseille,5,Ligue 1,/olympique-marseille/startseite/verein/244/saison_id/2022
114,Paris Saint-Germain,5,Ligue 1,/fc-paris-saint-germain/startseite/verein/583/saison_id/2022
115,RC Lens,5,Ligue 1,/rc-lens/startseite/verein/826/saison_id/2022
116,RC Strasbourg Alsace,5,Ligue 1,/rc-strassburg-alsace/startseite/verein/667/saison_id/2022
117,Stade Brestois 29,5,Ligue 1,/stade-brest-29/startseite/verein/3911/saison_id/2022
118,Stade Reims,5,Ligue 1,/stade-reims/startseite/verein/1421/saison_id/2022
