team_id,team_name,team_small_logo,team_url,league_id,league_name,league_nation,league_logo
23,Cardiff City,https://tmssl.akamaized.net/images/wappen/tiny/603.png?lm=1478337063,/cardiff-city/startseite/verein/603/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
24,Coventry City,https://tmssl.akamaized.net/images/wappen/tiny/990.png?lm=1684518179,/coventry-city/startseite/verein/990/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
25,Huddersfield Town,https://tmssl.akamaized.net/images/wappen/tiny/1110.png?lm=1567439677,/huddersfield-town/startseite/verein/1110/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
26,Hull City,https://tmssl.akamaized.net/images/wappen/tiny/3008.png?lm=1562662491,/hull-city/startseite/verein/3008/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
27,Ipswich Town,https://tmssl.akamaized.net/images/wappen/tiny/677.png?lm=1407655249,/ipswich-town/startseite/verein/677/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
28,Leeds United,https://tmssl.akamaized.net/images/wappen/tiny/399.png?lm=1645652224,/leeds-united/startseite/verein/399/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
29,Leicester City,https://tmssl.akamaized.net/images/wappen/tiny/1003.png?lm=1472229265,/leicester-city/startseite/verein/1003/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
30,Middlesbrough FC,https://tmssl.akamaized.net/images/wappen/tiny/641.png?lm=1443702192,/fc-middlesbrough/startseite/verein/641/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
31,Millwall FC,https://tmssl.akamaized.net/images/wappen/tiny/1028.png?lm=1564722431,/fc-millwall/startseite/verein/1028/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
32,Norwich City,https://tmssl.akamaized.net/images/wappen/tiny/1123.png?lm=1655469640,/norwich-city/startseite/verein/1123/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
33,Plymouth Argyle,https://tmssl.akamaized.net/images/wappen/tiny/2262.png?lm=1411464792,/plymouth-argyle/startseite/verein/2262/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
34,Preston North End,https://tmssl.akamaized.net/images/wappen/tiny/466.png?lm=1414769167,/preston-north-end/startseite/verein/466/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
