team_id,team_name,team_crest_big_pic,team_crest_small_pic,league_id
0,AFC Bournemouth,https://tmssl.akamaized.net//images/wappen/head/989.png?lm=1457991811,https://tmssl.akamaized.net//images/wappen/small/989.png?lm=1457991811,0
1,Arsenal FC,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,https://tmssl.akamaized.net//images/wappen/small/11.png?lm=1489787850,0
2,Aston Villa,https://tmssl.akamaized.net//images/wappen/head/405.png?lm=1717155982,https://tmssl.akamaized.net//images/wappen/small/405.png?lm=1717155982,0
3,Brentford FC,https://tmssl.akamaized.net//images/wappen/head/1148.png?lm=1625150543,https://tmssl.akamaized.net//images/wappen/small/1148.png?lm=1625150543,0
4,Brighton & Hove Albion,https://tmssl.akamaized.net//images/wappen/head/1237.png?lm=1492718902,https://tmssl.akamaized.net//images/wappen/small/1237.png?lm=1492718902,0
5,Burnley FC,https://tmssl.akamaized.net//images/wappen/head/1132.png?lm=1686818840,https://tmssl.akamaized.net//images/wappen/small/1132.png?lm=1686818840,0
6,Chelsea FC,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,https://tmssl.akamaized.net//images/wappen/small/631.png?lm=1682435911,0
7,Crystal Palace,https://tmssl.akamaized.net//images/wappen/head/873.png?lm=1457723287,https://tmssl.akamaized.net//images/wappen/small/873.png?lm=1457723287,0
8,Everton FC,https://tmssl.akamaized.net//images/wappen/head/29.png?lm=1445949846,https://tmssl.akamaized.net//images/wappen/small/29.png?lm=1445949846,0
9,Fulham FC,https://tmssl.akamaized.net//images/wappen/head/931.png?lm=1556831687,https://tmssl.akamaized.net//images/wappen/small/931.png?lm=1556831687,0
10,Leeds United,https://tmssl.akamaized.net//images/wappen/head/399.png?lm=1645652224,https://tmssl.akamaized.net//images/wappen/small/399.png?lm=1645652224,0
11,Liverpool FC,https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,https://tmssl.akamaized.net//images/wappen/small/31.png?lm=1727873452,0
12,Manchester City,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,https://tmssl.akamaized.net//images/wappen/small/281.png?lm=1467356331,0
13,Manchester United,https://tmssl.akamaized.net//images/wappen/head/985.png?lm=1457975903,https://tmssl.akamaized.net//images/wappen/small/985.png?lm=1457975903,0
14,Newcastle United,https://tmssl.akamaized.net//images/wappen/head/762.png?lm=1472921161,https://tmssl.akamaized.net//images/wappen/small/762.png?lm=1472921161,0
