team_id,team_name,team_logo_small_pic,team_logo_big_pic,league_id
59,Sevilla FC,https://tmssl.akamaized.net/images/wappen/small/368.png?lm=1408655455,https://tmssl.akamaized.net/images/wappen/head/368.png?lm=1408655455,2
60,UD Almería,https://tmssl.akamaized.net/images/wappen/small/3302.png?lm=1408654801,https://tmssl.akamaized.net/images/wappen/head/3302.png?lm=1408654801,2
61,UD Las Palmas,https://tmssl.akamaized.net/images/wappen/small/472.png?lm=1407484865,https://tmssl.akamaized.net/images/wappen/head/472.png?lm=1407484865,2
62,Valencia CF,https://tmssl.akamaized.net/images/wappen/small/1049.png?lm=1406966320,https://tmssl.akamaized.net/images/wappen/head/1049.png?lm=1406966320,2
63,Villarreal CF,https://tmssl.akamaized.net/images/wappen/small/1050.png?lm=1408655310,https://tmssl.akamaized.net/images/wappen/head/1050.png?lm=1408655310,2
64,1.FC Heidenheim 1846,https://tmssl.akamaized.net/images/wappen/small/2036.png?lm=1685457789,https://tmssl.akamaized.net/images/wappen/head/2036.png?lm=1685457789,3
65,1.FC Köln,https://tmssl.akamaized.net/images/wappen/small/3.png?lm=1656580823,https://tmssl.akamaized.net/images/wappen/head/3.png?lm=1656580823,3
66,1.FC Union Berlin,https://tmssl.akamaized.net/images/wappen/small/89.png?lm=1402956210,https://tmssl.akamaized.net/images/wappen/head/89.png?lm=1402956210,3
67,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/small/39.png?lm=1564748880,https://tmssl.akamaized.net/images/wappen/head/39.png?lm=1564748880,3
68,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/small/15.png?lm=1651221781,https://tmssl.akamaized.net/images/wappen/head/15.png?lm=1651221781,3
69,Bayern Munich,https://tmssl.akamaized.net/images/wappen/small/27.png?lm=1498251238,https://tmssl.akamaized.net/images/wappen/head/27.png?lm=1498251238,3
70,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/small/16.png?lm=1396275280,https://tmssl.akamaized.net/images/wappen/head/16.png?lm=1396275280,3
71,Borussia Mönchengladbach,https://tmssl.akamaized.net/images/wappen/small/18.png?lm=1656585796,https://tmssl.akamaized.net/images/wappen/head/18.png?lm=1656585796,3
72,Eintracht Frankfurt,https://tmssl.akamaized.net/images/wappen/small/24.png?lm=1403806187,https://tmssl.akamaized.net/images/wappen/head/24.png?lm=1403806187,3
73,FC Augsburg,https://tmssl.akamaized.net/images/wappen/small/167.png?lm=1656582897,https://tmssl.akamaized.net/images/wappen/head/167.png?lm=1656582897,3
74,RB Leipzig,https://tmssl.akamaized.net/images/wappen/small/23826.png?lm=1619431624,https://tmssl.akamaized.net/images/wappen/head/23826.png?lm=1619431624,3
75,SC Freiburg,https://tmssl.akamaized.net/images/wappen/small/60.png?lm=1517249279,https://tmssl.akamaized.net/images/wappen/head/60.png?lm=1517249279,3
76,SV Darmstadt 98,https://tmssl.akamaized.net/images/wappen/small/105.png?lm=1501493517,https://tmssl.akamaized.net/images/wappen/head/105.png?lm=1501493517,3
77,SV Werder Bremen,https://tmssl.akamaized.net/images/wappen/small/86.png?lm=1403082298,https://tmssl.akamaized.net/images/wappen/head/86.png?lm=1403082298,3
78,TSG 1899 Hoffenheim,https://tmssl.akamaized.net/images/wappen/small/533.png?lm=1675591766,https://tmssl.akamaized.net/images/wappen/head/533.png?lm=1675591766,3
79,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/small/79.png?lm=1680587427,https://tmssl.akamaized.net/images/wappen/head/79.png?lm=1680587427,3
80,VfL Bochum,https://tmssl.akamaized.net/images/wappen/small/80.png?lm=1656583090,https://tmssl.akamaized.net/images/wappen/head/80.png?lm=1656583090,3
81,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/small/82.png?lm=1503060755,https://tmssl.akamaized.net/images/wappen/head/82.png?lm=1503060755,3
82,AC Milan,https://tmssl.akamaized.net/images/wappen/small/5.png?lm=1605166627,https://tmssl.akamaized.net/images/wappen/head/5.png?lm=1605166627,4
83,AC Monza,https://tmssl.akamaized.net/images/wappen/small/2919.png?lm=1562072734,https://tmssl.akamaized.net/images/wappen/head/2919.png?lm=1562072734,4
84,ACF Fiorentina,https://tmssl.akamaized.net/images/wappen/small/430.png?lm=1656660160,https://tmssl.akamaized.net/images/wappen/head/430.png?lm=1656660160,4
85,AS Roma,https://tmssl.akamaized.net/images/wappen/small/12.png?lm=1533302889,https://tmssl.akamaized.net/images/wappen/head/12.png?lm=1533302889,4
86,Atalanta BC,https://tmssl.akamaized.net/images/wappen/small/800.png?lm=1438547428,https://tmssl.akamaized.net/images/wappen/head/800.png?lm=1438547428,4
