nation_id,nation_name,nation_flag_small_pic,nation_flag_big_pic
0,Albania,https://tmssl.akamaized.net/images/flagge/small/3.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/3.png?lm=1520611569
1,Algeria,https://tmssl.akamaized.net/images/flagge/small/4.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/4.png?lm=1520611569
2,Andorra,https://tmssl.akamaized.net/images/flagge/small/5.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/5.png?lm=1520611569
3,Angola,https://tmssl.akamaized.net/images/flagge/small/6.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/6.png?lm=1520611569
4,Antigua and Barbuda,https://tmssl.akamaized.net/images/flagge/small/7.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/7.png?lm=1520611569
5,Argentina,https://tmssl.akamaized.net/images/flagge/small/9.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/9.png?lm=1520611569
6,Armenia,https://tmssl.akamaized.net/images/flagge/small/10.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/10.png?lm=1520611569
7,Australia,https://tmssl.akamaized.net/images/flagge/small/12.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/12.png?lm=1520611569
8,Austria,https://tmssl.akamaized.net/images/flagge/small/127.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/127.png?lm=1520611569
9,Belgium,https://tmssl.akamaized.net/images/flagge/small/19.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/19.png?lm=1520611569
10,Benin,https://tmssl.akamaized.net/images/flagge/small/21.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/21.png?lm=1520611569
11,Bermuda,https://tmssl.akamaized.net/images/flagge/small/211.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/211.png?lm=1520611569
12,Bosnia-Herzegovina,https://tmssl.akamaized.net/images/flagge/small/24.png?lm=1569523290,https://tmssl.akamaized.net/images/flagge/head/24.png?lm=1569523290
13,Brazil,https://tmssl.akamaized.net/images/flagge/small/26.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/26.png?lm=1520611569
14,Bulgaria,https://tmssl.akamaized.net/images/flagge/small/28.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/28.png?lm=1520611569
15,Burkina Faso,https://tmssl.akamaized.net/images/flagge/small/29.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/29.png?lm=1520611569
16,Burundi,https://tmssl.akamaized.net/images/flagge/small/30.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/30.png?lm=1520611569
17,Cameroon,https://tmssl.akamaized.net/images/flagge/small/31.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/31.png?lm=1520611569
18,Canada,https://tmssl.akamaized.net/images/flagge/small/80.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/80.png?lm=1520611569
19,Cape Verde,https://tmssl.akamaized.net/images/flagge/small/32.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/32.png?lm=1520611569
20,Central African Republic,https://tmssl.akamaized.net/images/flagge/small/138.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/138.png?lm=1520611569
21,Chile,https://tmssl.akamaized.net/images/flagge/small/33.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/33.png?lm=1520611569
22,Colombia,https://tmssl.akamaized.net/images/flagge/small/83.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/83.png?lm=1520611569
23,Comoros,https://tmssl.akamaized.net/images/flagge/small/35.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/35.png?lm=1520611569
24,Congo,https://tmssl.akamaized.net/images/flagge/small/85.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/85.png?lm=1520611569
25,Costa Rica,https://tmssl.akamaized.net/images/flagge/small/36.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/36.png?lm=1520611569
26,Cote d'Ivoire,https://tmssl.akamaized.net/images/flagge/small/38.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/38.png?lm=1520611569
27,Croatia,https://tmssl.akamaized.net/images/flagge/small/37.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/37.png?lm=1520611569
28,Cuba,https://tmssl.akamaized.net/images/flagge/small/88.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/88.png?lm=1520611569
29,Curacao,https://tmssl.akamaized.net/images/flagge/small/260.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/260.png?lm=1520611569
30,Cyprus,https://tmssl.akamaized.net/images/flagge/small/188.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/188.png?lm=1520611569
31,Czech Republic,https://tmssl.akamaized.net/images/flagge/small/172.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/172.png?lm=1520611569
32,DR Congo,https://tmssl.akamaized.net/images/flagge/small/193.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/193.png?lm=1520611569
33,Denmark,https://tmssl.akamaized.net/images/flagge/small/39.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/39.png?lm=1520611569
34,Dominican Republic,https://tmssl.akamaized.net/images/flagge/small/43.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/43.png?lm=1520611569
35,Ecuador,https://tmssl.akamaized.net/images/flagge/small/44.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/44.png?lm=1520611569
36,Egypt,https://tmssl.akamaized.net/images/flagge/small/2.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/2.png?lm=1520611569
37,England,https://tmssl.akamaized.net/images/flagge/small/189.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/189.png?lm=1520611569
38,Equatorial Guinea,https://tmssl.akamaized.net/images/flagge/small/8.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/8.png?lm=1520611569
39,Estonia,https://tmssl.akamaized.net/images/flagge/small/47.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/47.png?lm=1520611569
40,Finland,https://tmssl.akamaized.net/images/flagge/small/49.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/49.png?lm=1520611569
41,France,https://tmssl.akamaized.net/images/flagge/small/50.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/50.png?lm=1520611569
42,Gabon,https://tmssl.akamaized.net/images/flagge/small/51.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/51.png?lm=1520611569
43,Georgia,https://tmssl.akamaized.net/images/flagge/small/53.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/53.png?lm=1520611569
44,Germany,https://tmssl.akamaized.net/images/flagge/small/40.png?lm=1520612525,https://tmssl.akamaized.net/images/flagge/head/40.png?lm=1520612525
45,Ghana,https://tmssl.akamaized.net/images/flagge/small/54.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/54.png?lm=1520611569
46,Gibraltar,https://tmssl.akamaized.net/images/flagge/small/266.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/266.png?lm=1520611569
47,Greece,https://tmssl.akamaized.net/images/flagge/small/56.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/56.png?lm=1520611569
48,Grenada,https://tmssl.akamaized.net/images/flagge/small/55.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/55.png?lm=1520611569
49,Guadeloupe,https://tmssl.akamaized.net/images/flagge/small/251.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/251.png?lm=1520611569
50,Guinea,https://tmssl.akamaized.net/images/flagge/small/59.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/59.png?lm=1520611569
51,Guinea-Bissau,https://tmssl.akamaized.net/images/flagge/small/60.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/60.png?lm=1520611569
52,Haiti,https://tmssl.akamaized.net/images/flagge/small/62.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/62.png?lm=1520611569
53,Honduras,https://tmssl.akamaized.net/images/flagge/small/66.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/66.png?lm=1520611569
54,Hungary,https://tmssl.akamaized.net/images/flagge/small/178.png?lm=1521635893,https://tmssl.akamaized.net/images/flagge/head/178.png?lm=1521635893
55,Iceland,https://tmssl.akamaized.net/images/flagge/small/73.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/73.png?lm=1520611569
56,Iran,https://tmssl.akamaized.net/images/flagge/small/71.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/71.png?lm=1520611569
57,Iraq,https://tmssl.akamaized.net/images/flagge/small/70.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/70.png?lm=1520611569
58,Ireland,https://tmssl.akamaized.net/images/flagge/small/72.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/72.png?lm=1520611569
59,Israel,https://tmssl.akamaized.net/images/flagge/small/74.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/74.png?lm=1520611569
60,Italy,https://tmssl.akamaized.net/images/flagge/small/75.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/75.png?lm=1520611569
61,Jamaica,https://tmssl.akamaized.net/images/flagge/small/76.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/76.png?lm=1520611569
62,Japan,https://tmssl.akamaized.net/images/flagge/small/77.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/77.png?lm=1520611569
63,Kenya,https://tmssl.akamaized.net/images/flagge/small/82.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/82.png?lm=1520611569
64,"Korea, South",https://tmssl.akamaized.net/images/flagge/small/87.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/87.png?lm=1520611569
65,Kosovo,https://tmssl.akamaized.net/images/flagge/small/244.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/244.png?lm=1520611569
66,Libya,https://tmssl.akamaized.net/images/flagge/small/96.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/96.png?lm=1520611569
67,Lithuania,https://tmssl.akamaized.net/images/flagge/small/98.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/98.png?lm=1520611569
68,Luxembourg,https://tmssl.akamaized.net/images/flagge/small/99.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/99.png?lm=1520611569
69,Madagascar,https://tmssl.akamaized.net/images/flagge/small/101.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/101.png?lm=1520611569
70,Mali,https://tmssl.akamaized.net/images/flagge/small/105.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/105.png?lm=1520611569
71,Malta,https://tmssl.akamaized.net/images/flagge/small/106.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/106.png?lm=1520611569
72,Martinique,https://tmssl.akamaized.net/images/flagge/small/207.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/207.png?lm=1520611569
73,Mauritania,https://tmssl.akamaized.net/images/flagge/small/108.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/108.png?lm=1520611569
74,Mexico,https://tmssl.akamaized.net/images/flagge/small/110.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/110.png?lm=1520611569
75,Moldova,https://tmssl.akamaized.net/images/flagge/small/112.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/112.png?lm=1520611569
76,Montenegro,https://tmssl.akamaized.net/images/flagge/small/216.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/216.png?lm=1520611569
77,Montserrat,https://tmssl.akamaized.net/images/flagge/small/235.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/235.png?lm=1520611569
78,Morocco,https://tmssl.akamaized.net/images/flagge/small/107.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/107.png?lm=1520611569
79,Mozambique,https://tmssl.akamaized.net/images/flagge/small/115.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/115.png?lm=1520611569
80,Namibia,https://tmssl.akamaized.net/images/flagge/small/117.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/117.png?lm=1520611569
81,Netherlands,https://tmssl.akamaized.net/images/flagge/small/122.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/122.png?lm=1520611569
82,Neukaledonien,https://tmssl.akamaized.net/images/flagge/small/236.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/236.png?lm=1520611569
83,New Zealand,https://tmssl.akamaized.net/images/flagge/small/120.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/120.png?lm=1520611569
84,Nigeria,https://tmssl.akamaized.net/images/flagge/small/124.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/124.png?lm=1520611569
85,North Macedonia,https://tmssl.akamaized.net/images/flagge/small/100.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/100.png?lm=1520611569
86,Northern Ireland,https://tmssl.akamaized.net/images/flagge/small/192.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/192.png?lm=1520611569
87,Norway,https://tmssl.akamaized.net/images/flagge/small/125.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/125.png?lm=1520611569
88,Palestine,https://tmssl.akamaized.net/images/flagge/small/240.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/240.png?lm=1520611569
89,Panama,https://tmssl.akamaized.net/images/flagge/small/130.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/130.png?lm=1520611569
90,Paraguay,https://tmssl.akamaized.net/images/flagge/small/132.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/132.png?lm=1520611569
91,Peru,https://tmssl.akamaized.net/images/flagge/small/133.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/133.png?lm=1520611569
92,Philippines,https://tmssl.akamaized.net/images/flagge/small/134.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/134.png?lm=1520611569
93,Poland,https://tmssl.akamaized.net/images/flagge/small/135.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/135.png?lm=1520611569
94,Portugal,https://tmssl.akamaized.net/images/flagge/small/136.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/136.png?lm=1520611569
95,Romania,https://tmssl.akamaized.net/images/flagge/small/140.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/140.png?lm=1520611569
96,Russia,https://tmssl.akamaized.net/images/flagge/small/141.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/141.png?lm=1520611569
97,Sao Tome and Principe,https://tmssl.akamaized.net/images/flagge/small/145.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/145.png?lm=1520611569
98,Scotland,https://tmssl.akamaized.net/images/flagge/small/190.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/190.png?lm=1520611569
99,Senegal,https://tmssl.akamaized.net/images/flagge/small/149.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/149.png?lm=1520611569
100,Serbia,https://tmssl.akamaized.net/images/flagge/small/215.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/215.png?lm=1520611569
101,Sierra Leone,https://tmssl.akamaized.net/images/flagge/small/152.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/152.png?lm=1520611569
102,Slovakia,https://tmssl.akamaized.net/images/flagge/small/154.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/154.png?lm=1520611569
103,Slovenia,https://tmssl.akamaized.net/images/flagge/small/155.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/155.png?lm=1520611569
104,South Africa,https://tmssl.akamaized.net/images/flagge/small/159.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/159.png?lm=1520611569
105,Spain,https://tmssl.akamaized.net/images/flagge/small/157.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/157.png?lm=1520611569
106,St. Kitts & Nevis,https://tmssl.akamaized.net/images/flagge/small/225.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/225.png?lm=1520611569
107,St. Lucia,https://tmssl.akamaized.net/images/flagge/small/230.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/230.png?lm=1520611569
108,Suriname,https://tmssl.akamaized.net/images/flagge/small/161.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/161.png?lm=1520611569
